genes_in_mod	GF_104w_M_1_2	GF_104w_M_2_2	GF_104w_M_3_2	GF_104w_M_4_2	GF_104w_M_5_2	GF_8w_M_1_2	GF_8w_M_3_2	GF_8w_M_4_2	SPF_104w_M_1_2	SPF_104w_M_10_2	SPF_104w_M_11_2	SPF_104w_M_12_2	SPF_104w_M_13_2	SPF_104w_M_14_2	SPF_104w_M_2_2	SPF_104w_M_4_2	SPF_104w_M_5_2	SPF_104w_M_6_2	SPF_104w_M_7_2	SPF_104w_M_8_2	SPF_104w_M_9_2	SPF_8w_M_2_2	SPF_8w_M_3_2	SPF_8w_M_4_2
Il10	ME0	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	4.69485534033443	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932	-0.204124145231932
Il1b	ME0	0.253369489429304	0.21277261889125	-0.514798490086922	-0.458135516462306	-0.466709299178474	-0.683367192627485	-0.381641804954491	0.4402839497243	0.266084203843244	0.71713836020135	-0.28790400700835	0.300464669838713	-0.391627738232247	0.0864800275895191	-0.120067826172183	-0.309865071052709	-0.271838098371031	4.29307474058439	-0.0629651609175279	-0.159048987301112	-0.215170563422464	-0.969085184080044	-0.523017471569102	-0.754425648665619
Itgam	ME0	0.338656685733391	-1.20997798674916	0.685715617109035	0.429453377307223	0.000281758921285935	-1.41424510832925	-1.39045110078925	-1.30504455345035	-0.102070866676813	-0.398295753891227	0.42584818654436	-0.907957706118738	-1.18015649901872	-0.738943185500582	1.15524627977037	1.66431060500044	0.459658127938733	1.46475257699814	1.5930474186078	0.0200805317531747	0.0994059343485424	-0.0158731851197694	-1.05193230985061	1.37849115546199
Map3k5	ME0	-0.195629691232902	-2.19326316395289	1.6767752520083	0.0357849358362777	-1.11557592392854	-1.03003880993963	0.873413917310133	1.67268407159306	1.21747022476536	0.499250387372146	-0.244315372871269	0.181478539416335	-0.370948100806631	0.230628189866048	-0.35043303305787	-0.878854234856429	-0.12947816966379	-0.466369204016416	2.25561842344486	-0.412716125223743	-0.392216688253382	-0.460329405299871	-0.75951712891721	0.356581110408055
Mapk9	ME0	-0.935980994076443	-0.270915501832802	1.29941458093607	0.434709528110694	0.694420109281979	-1.11894644531111	-0.0868906535318311	-0.747075928477664	1.35587662243597	0.232706905435906	1.98163317099904	0.323260194999313	-0.481258929818439	0.625406346665186	-0.752895518159207	-1.79560085773871	2.04148782073138	-1.2969826395633	-0.219422701211202	-0.490821056690167	0.558684035618252	-0.669186356347781	-0.790439589939004	0.108817857483896
Met	ME0	-0.336061660105231	-0.385422281848321	-0.412754863679465	2.68323652022949	-0.412754863679465	-0.151830050614894	-0.37360417301222	1.22450605365856	-0.412754863679465	-0.412754863679465	-0.412754863679465	-0.412754863679465	-0.412754863679465	0.274556585696849	-0.412754863679465	3.35946298584947	-0.380291721640703	-0.326278325883046	-0.412754863679465	-0.412754863679465	-0.412754863679465	-0.412754863679465	-0.222460704496901	-0.412754863679465
Mtr	ME0	-1.65636418799963	-0.264169224596805	0.690378206650694	-0.595411353552837	-1.35810704556397	-0.0153900522171199	-0.328244579519662	1.99241400430352	-0.0889404946105515	0.689809403893355	-0.656976306713004	-0.134739689403192	-1.20977067389821	-0.416066579968504	-0.556170002430762	0.00165023997393293	1.06827827019085	0.695847463069254	-0.561744209909828	2.64454038268336	-0.281202777269322	1.05878931444509	-0.643055914930994	-0.0753541926256571
Nox1	ME0	-0.2104350746869	-0.203307733642307	-0.2104350746869	-0.2104350746869	-0.2104350746869	-0.128787458320607	-0.190016928590004	-0.2104350746869	-0.2104350746869	-0.195276431129296	-0.2104350746869	-0.2104350746869	-0.2104350746869	-0.2104350746869	-0.2104350746869	-0.2104350746869	-0.2104350746869	4.69417446333112	-0.200347459443331	-0.2104350746869	-0.199042182528276	-0.2104350746869	-0.2104350746869	-0.2104350746869
Nqo2	ME0	0.283764840631395	1.11854970424152	0.981893828157089	-1.22949730640425	2.26834084581682	-0.828722994103319	1.7885141282557	-0.292591613200849	-1.06515965177383	-0.143520183138802	-1.00360340272347	-1.13620375352604	-0.744648900769548	-1.35051310955502	-0.49995099892345	-0.103208725908611	-0.533549528000786	-0.395824201689515	-0.00201995738778356	1.71332790987972	0.695166903567269	0.0415348173076075	0.332867497828925	0.105053851419234
Parl	ME0	-0.463755993795421	0.606773989443997	-0.252571357435607	0.741506267555097	0.628005616183457	0.0201913177025342	0.389018565225229	0.215182788566517	-0.359883661658047	2.7834595454011	-0.733553646020027	0.665418185411716	1.72031582159668	-1.65080518690855	-1.36484825041257	-0.114122751072503	0.184102764422888	-1.18631516188845	-0.929305241341856	0.24786449646371	0.721846243113238	-1.06897966166248	0.0705847022622665	-0.870129391152909
