#KEY	PBS_4	PBS_3	PBS_2	PBS_1	CML_4	CML_3	CML_2	CML_1
Usp30	350	294	395	455	345	486	444	426
Usp31	254	197	169	176	301	569	290	317
Usp32	303	344	380	314	475	325	472	396
Usp33	1936	2140	1424	1627	1891	2730	2097	2135
Usp34	302	420	224	261	344	458	383	276
Usp35	563	495	756	443	735	851	540	798
Usp36	639	432	565	303	499	677	670	552
Usp37	924	720	869	781	842	1037	688	911
Usp38	2041	1868	1991	2214	2265	3119	1902	2491
Usp39	1115	1330	1340	1074	966	1744	1188	1427
Usp4	4495	2757	3267	3103	3971	5252	3891	4375
Usp40	852	670	988	951	1098	1187	800	1041
Usp42	733	582	562	600	661	1076	731	813
Usp43	0	0	0	0	0	0	0	0
Usp44	1	2	0	1	0	0	1	0
Usp45	588	394	409	556	427	761	757	548
Usp46	377	368	428	432	331	643	251	463
Usp47	2032	1610	1991	1709	2205	2916	1573	2413
Usp48	1786	1199	1390	1222	1418	1870	1715	1625
Usp49	56	56	87	52	50	39	76	61
Usp5	1853	1252	1829	1578	1992	2683	1545	2300
Usp50	6	16	4	0	5	1	12	2
Usp51	0	0	0	0	0	0	0	0
Usp53	60	155	0	39	63	67	27	47
Usp54	100	129	89	44	190	294	138	182
Usp6nl	713	649	495	771	633	1093	622	720
Usp7	1323	1383	1750	1243	1745	2494	1538	2008
Usp8	4485	4639	5584	4202	5898	7148	5435	6277
Usp9x	1574	1109	1672	1180	2523	2945	1713	2203
Usp9y	0	0	0	0	0	0	0	0
Uspl1	1509	1446	1258	1344	1300	2726	1391	1660
Ust	581	484	486	432	664	484	404	535
Utf1	0	6	0	0	0	5	0	2
Utp11l	1170	1218	1232	1263	957	1571	1318	1376
Utp14a	191	328	195	217	226	429	210	310
Utp14b	18	0	0	0	23	18	2	15
Utp15	1191	1201	1090	1197	1103	1925	905	1348
Utp18	661	654	624	636	548	1325	675	968
Utp20	422	310	218	330	254	839	374	503
Utp23	537	635	585	671	585	650	638	591
Utp3	1190	1372	1349	1493	1525	2374	1318	1706
Utp6	1371	1134	1239	934	1417	2215	1297	1721
Utrn	175	142	79	126	155	427	237	194
Uts2	0	0	0	0	0	0	0	0
Uts2b	0	0	0	0	0	0	0	0
Uts2r	0	0	0	0	0	0	0	0
Uty	773	811	808	803	976	1301	848	1055
Uvrag	2215	1985	1889	2194	2757	3298	2376	2554
Uvssa	126	103	105	69	74	220	101	136
Uxs1	383	351	364	412	425	487	390	463
Uxt	88	111	124	100	103	164	117	143
V1ra8	0	0	0	0	0	0	0	0
V1rd18	0	0	0	0	0	0	0	0
V1rd19	0	0	0	0	0	0	0	0
Vac14	1532	1039	1336	1238	1564	1932	1537	1671
Vamp1	53	14	102	6	68	63	92	77
Vamp2	563	680	450	620	669	562	459	614
Vamp3	3610	3405	3144	3001	3646	4399	3179	3991
Vamp4	1001	1044	915	863	935	1362	1076	1129
Vamp5	235	331	258	276	330	365	337	339
Vamp7	846	1206	1093	1032	781	1361	821	1168
Vamp8	3480	4664	3534	3122	3164	4242	3145	4168
Vangl1	297	409	204	156	296	303	393	329
Vangl2	236	221	280	240	171	384	204	368
Vapa	7739	8900	8105	7776	7701	10195	6927	9077
Vapb	613	810	738	594	589	752	632	715
Vars	1915	1088	1426	1875	1594	2684	1380	2046
Vars2	256	140	252	328	225	224	204	258
Vash1	105	116	93	167	107	124	83	111
Vash2	31	53	11	26	17	0	3	15
Vasn	7	55	33	39	42	56	51	36
Vasp	2057	2211	1894	2198	2164	2694	1873	2346
Vat1	24	28	13	23	18	39	22	20
Vat1l	1	1	64	1	34	25	0	33
Vaultrc5	13	49	5	10	12	33	38	16
Vav1	14705	11540	13916	12578	13946	19363	14260	16646
Vav2	2064	1287	1944	1853	2213	2556	1834	2300
Vav3	0	29	1	0	0	0	9	0
Vax1	1	0	0	8	0	0	0	0
Vax2	0	0	0	0	0	0	0	0
Vax2os	0	0	0	0	0	0	0	0
Vbp1	2106	3450	2358	2380	2813	3442	2448	2982
Vcam1	494	398	321	256	288	732	357	446
Vcan	1	2	0	0	7	15	1	5
Vcl	470	485	481	383	471	589	504	444
Vcp	5643	4382	5474	5064	5878	6934	4842	6361
Vcpip1	2344	2968	2490	2178	3173	5068	2733	3448
Vcpkmt	21	34	32	14	35	51	18	32
Vdac1	1761	1992	1599	1475	1629	2100	1716	1963
Vdac2	5461	6556	5779	5245	5522	7417	4885	6546
Vdac3	1623	1849	1596	1373	1467	2092	1342	1763
Vdr	0	0	0	0	4	0	0	0
Vegfa	16	10	13	1	18	14	24	12
Vegfb	455	525	524	503	554	682	524	599
Vegfc	0	0	0	0	0	0	0	0
Veph1	0	0	0	0	0	0	1	0
Vezf1	1403	1342	1341	1075	1356	1735	1267	1481
Vezt	468	421	780	662	688	804	627	661
Vgf	4	0	0	0	0	0	0	0
Vgll1	0	0	0	0	0	0	0	0
Vgll2	0	0	0	0	0	0	0	0
Vgll3	0	0	0	0	0	0	0	0
Vgll4	3035	3343	3107	3447	3043	4110	3433	3377
Vhl	5654	5693	4744	5514	5237	5910	4970	5842
Vil1	0	0	0	4	0	12	10	5
Vill	9	17	27	0	26	25	12	27
Vim	137	60	95	69	166	119	84	135
Vimp	5391	6022	5660	5610	4816	6838	5140	6326
Vip	2	0	0	0	0	0	0	0
Vipas39	1576	1222	1382	1183	1295	1896	1508	1639
Vipr1	215	165	77	173	180	368	246	217
Vipr2	0	0	0	0	0	0	0	0
Vit	0	0	0	0	1	0	0	0
Vkorc1	1913	2438	1821	2226	1719	2213	1915	2069
Vkorc1l1	634	519	348	408	442	907	450	594
Vldlr	0	3	0	0	1	10	0	3
Vma21	1029	1499	1191	1340	1160	1493	977	1354
Vmac	181	264	120	188	271	189	190	187
Vmn1r-ps103	0	0	0	0	0	0	0	0
Vmn1r-ps79	0	0	0	0	0	0	0	0
Vmn1r1	0	0	0	0	0	0	0	0
Vmn1r10	0	0	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0
Vmn1r11	0	0	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0	0	0
Vmn1r12	0	0	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0	0	0
Vmn1r125	0	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0	0	0
Vmn1r13	0	0	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0	0	0
Vmn1r132	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0
Vmn1r14	0	0	0	0	0	0	0	0
Vmn1r142	0	0	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0	0	0
Vmn1r148	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0
Vmn1r15	0	0	0	0	0	0	0	0
Vmn1r151	0	0	0	0	0	0	0	0
