Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
PCDHGA11,NM_033594,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA12,NM_033595,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA2,NM_033585,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA3,NM_033586,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA4,NM_033587,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA5,NM_033588,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA6,NM_033589,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA7,NM_033590,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA8,NM_033591,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGA9,NM_033592,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB1,NM_033574,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB2,NM_033575,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB4,NM_033576,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB5,NM_033577,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB6,NM_033578,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB7,NM_033579,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGB8,NM_033580,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGC3,NM_033581,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGC4,NM_033582,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
PCDHGC5,NM_033583,1.56466302367942,271,199,238,200,237,339,234,178,143,182,135,182,152,126,0.000909998628212
ANAPC13,NM_181394,1.56410256410256,152,93,162,107,139,148,114,110,87,107,97,60,64,60,0.003311876526272
RPS27L,NM_026467,1.5609756097561,48,42,45,49,55,48,33,13,33,31,39,27,35,27,0.001711802298079
TSPO,NM_009775,1.56,63,105,62,100,104,69,82,42,57,44,60,56,71,45,0.003624315600984
GADD45GIP1,NM_183358,1.55417956656347,151,131,116,161,151,83,211,94,77,95,96,86,92,106,0.00623642012619
FAM172A,NM_138312,1.5521978021978,69,114,83,96,58,82,63,62,43,35,58,55,49,62,0.004964102494917
NINJ1,NM_013610,1.55205047318612,268,206,182,185,208,142,285,172,150,116,119,162,107,125,0.004073198509156
UBA52,NM_019883,1.55099337748344,373,311,299,292,374,321,372,240,173,250,274,187,167,219,0.000103668839276
RPL34,NM_026724,1.55036496350365,163,113,148,171,194,120,153,80,82,130,91,99,92,111,0.001078695148485
SMURF2,NM_025481,1.55,74,70,112,70,99,97,98,72,82,47,48,41,44,66,0.003858169977529
CDKN1B,NM_009875,1.54875283446712,55,84,77,116,101,123,127,48,58,86,69,56,63,61,0.008829853850861
N/A,NM_001005859,1.54867256637168,163,107,147,171,193,118,151,78,80,129,91,97,92,111,0.00164399610376
COX8A,NM_007750,1.5486670799752,374,303,353,361,343,364,400,171,245,364,217,269,216,131,0.001308385724282
RPS29,NM_009093,1.54730983302412,481,492,467,441,521,436,498,323,265,400,314,285,256,313,4.75394236766868E-06
BSG,NM_009768,1.54727859778598,996,1036,923,820,929,918,1087,656,552,754,589,672,601,512,7.50563895003021E-06
LLPH,NM_025431,1.54661016949153,49,72,46,55,44,63,36,33,37,42,30,25,32,37,0.003406414747835
RPL34-PS1,NM_001199350,1.54639175257732,163,107,147,171,193,118,151,78,80,129,91,98,92,111,0.001677316098822
CEBPA,NM_007678,1.54429369513168,546,573,489,480,577,712,493,466,367,338,467,291,288,289,0.000682588679097
RPL24,NM_024218,1.54226804123711,124,100,90,103,115,93,123,82,53,81,75,60,52,82,0.00027308953345
SNRPD2,NM_026943,1.54022988505747,78,68,83,56,65,85,101,51,42,52,46,51,58,48,0.000724942802746
